Adlard M			Interface
Shaw B			Who Goes Here?
Sheckley R		Journey Beyond Tomorrow
Sheckley R		Mindswap
Sheckley R		Pilgrimage to Earth
Sheckley R		The Alchemical Marriage of Alistair Crompton
Sheckley R		The People Trap
Sheckley R		The People Trap
Silverberg R		Born With the Dead
Silverberg R		Lord Valentine's Castle
Silverberg R		Lord Valentine's Castle
Silverberg R		Majipoor Chronicles
Silverberg R		Needle in a Timestack
Silverberg R		The Stochastic Man
Silverberg R		Thorns
Silverberg R		To Live Again
Silverberg R		To Live Again
Silverberg R		To Open The Sky
Silverberg R		Up the Line
Silverberg R		Up the Line
Silverberg R		Vornan-19
Simak C D		Destiny Doll
Sladek J			Keep the Giraffe Burning
Smith E E		Skylark Three (Skylark Bk 2)
Smith E E		Triplanetary (Lensman Bk 1)
Spinrad N		A World Between
Spinrad N		Agent of Chaos
Spinrad N		Bug Jack Barron
Stableford B M		Critical Threshhold
Strugastsky A & B	Roadside Picnic
Sturgeon T		Case and the Dreamer
Sturgeon T		Caviar
Sturgeon T		More Than Human
Sturgeon T		Starshine
Sturgeon T		The Joyous Invasions
Swann T B		The Weirwoods
Tenn W			Of All Possible Worlds
Tenn W			Time In Advance
Tiptree J		Up The Walls Of The World
Tucker W			Wild Talent
Tyler J E A		The Tolkien Companion
Vance J			Marune: Alastor 993
Vance J			The Asutra (Durdane Bk 3)
Vance J			The Asutra (Durdane Bk 3)
Vance J			The Book of Dreams
Vance J			The Brave Free Men (Durdane Bk 2)
Vance J			The Face
Vance J			The Face
Vance J			The Houses of Iszm
Vance J			The Killing Machine
Vance J			The Killing Machine (Demon Princes Bk 2)
Vance J			The Palace of Love
Varley J			Demon (vol 3 of The Gaean Trilogy)
Varley J			Demon (vol 3 of The Gaean Trilogy)
Varley J			Millennium
Varley J			The Ophiuchi Hotline
Varley J			Titan
Vornholt J		Star Trek Next Gen: 16 Contamination
Waldrop H		Them Bones
Wallace E		The Clue of the Silver Key
Watson I			Alien Embassy
Watson I			Deathhunter
Watson I			God's World
Watson I			The Jonah Kit
Watson I			The Martian Inca
Watson I			The Martian Inca
Weis M, Hickman T	Forging the Darksword
White J			Dark Inferno
White J			Major Operation
White J			The Aliens Among Us
White J			The Secret Visitors
Wilhelm K		Let the Fire Fall
Wilhelm K		Where Late the Sweet Birds Sang
Wingrove D		Chung Kuo 2: The Broken Wheel
Wolfe G			Free Live Free
Wolfe G			The Citadel Of Autarch
Wolfe G			The Claw Of The Conciliator
Wolfe G			The Shadow Of The Torturer
Wolfe G			The Sword Of Lictor
Zelazny R		Damnation Alley
Zelazny R		Isle of the Dead
Zelazny R		Lord of Light
Zelazny R		Today We Choose Faces
Zindell D		The Wild
